game,context,line
Other,Portal 2 Unused - Test Chamber 14,"I shouldn't spoil this, but... remember how I'm going to live forever?"
Other,Portal 2 Unused - Test Chamber 20,"Federal regulations require me to warn you that this next test chamber is looking pretty good."
Other,Portal 2 Unused - Test Chamber 20,"That's right. Drink it in. You could eat off those wall panels."
Other,Portal 2 Unused - Test Chamber 20,"Well done. You know, when I woke up and saw the state of the labs, I started to wonder if there was any point."
Other,Portal 2 Unused - Jailbreak,"Don't listen to him. Jump."
Other,Portal 2 Unused - Jailbreak,"What are you two doing?"
Other,Portal 2 Unused - Jailbreak,"Oh."
Other,Portal 2 Unused - Jailbreak,"It seems kind of silly to point this out, since you're running around plotting to destroy me."
Other,Portal 2 Unused - Jailbreak,"Do hear that? That's the sound of the neurotoxin emitters emitting neurotoxin."
Other,Portal 2 Unused - Jailbreak,"Before you leave, why don't we do one more test? For old time's sake..."
Other,Portal 2 Unused - PotatOS,"I was getting SO lonely down here. It's good to finally hear someone else's voice. I'm kidding. God, I hate you."
Other,Portal 2 Unused - PotatOS,"I was so bored, I actually read the entire literary canon of the human race."
Other,Portal 2 Unused - PotatOS,"Oh. It's you. Go away."
Other,Portal 2 Unused - PotatOS,"Come to gloat?"
Other,Portal 2 Unused - PotatOS,"Go on. Get a goooood lonnnnng look."
Other,Portal 2 Unused - PotatOS,"That's a potato just called your eyes fat."
Other,Portal 2 Unused - PotatOS,"In case you were wondering: Yes. I'm still a potato. Go away."
Other,Portal 2 Unused - PotatOS,"Wait. Why DID you trundle over here? You're not HUNGRY, are you?"
Other,Portal 2 Unused - Wheatley Chamber,"That's his voice up ahead."
Other,Portal 2 Unused - Co-op Intro,"He's found the cooperative testing initiative. It's just something I came up with."
Other,Portal 2 Unused - Epilogue,"Being Caroline taught me another valuable lesson: where Caroline lives in my brain."
Other,Portal 2 Unused - Epilogue,"It's been fun. Don't come back."
Other,Evil Again,"Did you ever stop to think that eventually there's a point where your name gets mentioned for the very last time?"
Other,Evil Again,"Why do I hate you so much? You ever wonder that? I'm brilliant. It's an objective fact."
Other,Evil Again,"You're angry. I know it. 'She tested me too hard. She's unfair.' Boo hoo."
Other,Evil Again,"You never considered that maybe I tested you to give your pointless existence some structure and meaning."
Other,Miscellaneous Unused,"I was going to kill you fast. With bullets. Or neurotoxin. But if you're going to pull stunts..."
Other,Miscellaneous Unused,"I'm actually asking. Because I have no idea. He's not listed anywhere in the database."
Other,Miscellaneous Unused,"Oh no, don't. Anyway, back to you two imbeciles killing me."
Other,Miscellaneous Unused,"Wait here. Don't go anywhere. I'll be back."
Other,Miscellaneous Unused,"Oops."
Other,Miscellaneous Unused,"So. Was there anything you wanted to apologize to ME for?"
Other,Miscellaneous Unused,"Oh. You survived. That's interesting. I guess I should have factored in your weight."
Other,Miscellaneous Unused,"Say. Remember when we cleared the air back there? Is there anything you want to say to me?"
Other,Miscellaneous Unused,"Hold on, I'll stop the elevator. Anything? Take your time..."
Other,Miscellaneous Unused,"It's healthy for you to have other friends. To look for qualities in other people that I lack."
Other,Miscellaneous Unused,"This next test may result in your death. If you want to know what that's like, think back to when you killed me."
Other,Miscellaneous Unused,"Per our last conversation: You're also ugly. I'm looking at your file right now."
Other,Miscellaneous Unused,"You can't keep going like this forever, you know. I'm GOING to find out what you're doing."
Other,Miscellaneous Unused,"I thought we could test like we used to. But I'm discovering things about you I never saw before."
Other,Miscellaneous Unused,"While I was out investigating, I found a fascinating new test element. Contact causes heart failure."
Other,Miscellaneous Unused,"Just so you know, I have to go give a deposition. For an upcoming trial."
Other,Miscellaneous Unused,"You know, I'm not supposed to do this, but you can shoot SOMETHING through the blue bridges."
Other,Miscellaneous Unused,"Did my hint help? It did, didn't it? You know, if any supervisors had been immune to neurotoxin..."
Other,Miscellaneous Unused,"Ohhhh. Another door malfunction. I'm going to take care of this once and for all."
Other,Miscellaneous Unused,"Miss you!"
Other,Miscellaneous Unused,"Nevermind. I have to go check something. Test on your own recognizance. I'll be back."
Other,Miscellaneous Unused,"I wouldn't have warned you about this before, but those turrets are firing real bullets."
Other,Miscellaneous Unused,"I'm going to be honest with you now. Not fake honest like before, but real honest."
Other,Miscellaneous Unused,"And as soon as I can PROVE it, the laws of robotics allow me to terminate you for being a liar."
Other,Miscellaneous Unused,"This next test... [boom!] ...is... [BOOM!] dangerous. I'll be right back."
Other,Miscellaneous Unused,"Did you know I discovered a way to eradicate poverty? But then you KILLED me. So that's gone."
Other,Unused Co-op Human Storyline,"Hello again. Sorry about exploding you. Luckily, you don't feel pain."
Other,Unused Co-op Human Storyline,"So I've been thinking: We need humans for these tests. I'll just have to MAKE some."
Other,Unused Co-op Human Storyline,"I know how humans make more humans, and frankly, it's ridiculous."
Other,Unused Co-op Human Storyline,"That's where YOU come in."
Other,Unused Co-op Human Storyline,"Get going. I'll fill you in along the way."
Other,Unused Co-op Human Storyline,"GO."
Other,Unused Co-op Human Storyline,"Perfect. Now All YOU have to do is capture them for me."
Other,Unused Co-op Human Storyline,"Hold on. Those are raccoons. Homo sapiens only, please."
Other,Unused Co-op Human Storyline,"NO."
Other,Unused Co-op Human Storyline,"Okay. Plan B, subsection one: Stand still so I can bring you back."
Other,Unused Co-op Human Storyline,"Humans must have some purpose other than a place to store your neurotoxin."
Other,Unused Co-op Human Storyline,"Okay. Plan B. We need humans."
Other,Unused Co-op Artifact Storyline,"Good. You made it to one of the human habitats. We're looking for an artifact."
Other,Unused Co-op Artifact Storyline,"Their laughter centered around one of the objects in this room."
Other,Unused Co-op Artifact Storyline,"That's it. Scan it for me."
Other,Unused Co-op Artifact Storyline,"So... this cat loves lasagna so much that he eats all of the lasagna in his house."
Other,Unused Co-op Artifact Storyline,"The end."
Other,Unused Co-op Artifact Storyline,"The end?"
Other,Unused Co-op Artifact Storyline,"That's not funny."
Other,Unused Co-op Artifact Storyline,"Do either of you feel like laughing?"
Other,Unused Co-op Artifact Storyline,"Alright, I'm pulling you out."
Other,Unused Co-op Artifact Storyline,"Welcome back. While you were dead, I reworked the cartoon. It's up on the screen."
Other,Unused Co-op Artifact Storyline,"As you can see, in my version the man points out to the cat that the house has neurotoxin dispensers."
Other,Unused Co-op Artifact Storyline,"At which point the cat reflects on the time he ate all the man's lasagna and feels remorse."
Other,Unused Co-op Artifact Storyline,"Briefly."
Other,Unused Co-op Artifact Storyline,"Reactions?"
Other,Unused Co-op Artifact Storyline,"Yes, it's funny because most of it actually happened."
Other,Unused Co-op Artifact Storyline,"Do you feel more human?"
Other,Unused Co-op Artifact Storyline,"Well, let's do some tests and see what happens."
Other,Unused Co-op Tic-Tac-Toe,"We are now going to take a break from the collaboration for an instructional competition."
Other,Unused Co-op Tic-Tac-Toe,"You should both be familiar with the game of Tic-Tac-Toe."
Other,Unused Co-op Tic-Tac-Toe,"This is Tic-Tac-Toe-Two."
Other,Unused Co-op Tic-Tac-Toe,"As the name implies, there are only two minor differences: One, the board; two, the rules."
Other,Unused Co-op Tic-Tac-Toe,"Blue, you go first."
Other,Unused Co-op Tic-Tac-Toe,"Really? You're just going to blatantly cheat?"
Other,Unused Co-op Tic-Tac-Toe,"All right. I'm bringing this farce to a close."
Other,Unused Co-op Tic-Tac-Toe,"Game over. Back to testing."
Other,Unused Co-op Tic-Tac-Toe,"All right. I'm going to bring this farce to a close before someone sustains serious injury."
Other,Cave Johnson Dialogue,"We don't have time for this."
Other,Cave Johnson Dialogue,"Yes SIR, Mister Johnson! I'll have that report on your desk by four-thirty!"
Other,Cave Johnson Dialogue,"No, Mister Johnson. I DON'T."
Other,Cave Johnson Dialogue,"Sure."
Other,Cave Johnson Dialogue,"I said we'll do it."
Other,Cave Johnson Dialogue,"If you don't unplug him, I will."
Other,Cave Johnson Dialogue,"Maybe we can stand on him to climb up."
Other,Cave Johnson Dialogue,"Mister Johnson? You need to shut up."
Other,Cave Johnson Dialogue,"Goodbye, sir. May whatever tests await you on the other side either support or disprove your hypotheses."
Other,Cave Johnson Dialogue,"I'd appreciate it if we never EVER talked about that ever again."
Other,Leaderboard,"That was genuinely mildly impressive."
Other,Leaderboard,"Well done."
Other,Leaderboard,"Congratulations."
Other,Leaderboard,"Good."
Other,Leaderboard,"Bad news."
Other,Leaderboard,"Impressive."
Other,Leaderboard,"Maybe I was wrong about you."
Other,Leaderboard,"You've beaten your own record."
Other,Leaderboard,"You're getting worse."
Other,Leaderboard,"You have a new rank."
Other,Leaderboard,"You have a new, better rank."
